^SAMPLE = GSM913972
#ID_REF = 
#VALUE = MAS5.0 signal intensity
#ABS_CALL = 
!sample_table_begin
ID_REF	VALUE	ABS_CALL
1415933_a_at	10268.6	P
1415934_at	749.5	P
1415935_at	12.3	A
1415936_at	2092.8	P
1415937_s_at	267.8	P
1415938_at	14.5	A
1415939_at	46	A
1415940_at	1637.1	P
1415941_s_at	650.3	P
1415942_at	9804.9	P
1415943_at	2130.9	P
1415944_at	659.7	P
1415945_at	950.3	P
1415946_at	774.3	P
1415947_at	3483.2	P
1415948_at	2215.8	P
1415949_at	81.4	P
1415950_a_at	2557.4	P
1415951_at	18.4	A
1415952_at	377.8	M
1415953_s_at	201.8	P
1415954_at	30.5	A
1415955_x_at	18.9	A
1415956_a_at	344.4	A
1415957_a_at	1053.5	P
1415958_at	60.9	A
1415959_at	6.2	A
1415960_at	2021.2	P
1415961_at	2174.3	P
1415962_at	4128	P
1415963_at	1559.7	P
1415964_at	73.2	A
1415965_at	16.5	A
1415966_a_at	2999.6	P
1415967_at	4420.2	P
1415968_a_at	288.2	P
1415969_s_at	4.4	A
1415970_at	8250.4	P
1415971_at	438.9	P
1415972_at	136.1	P
1415973_at	295.1	P
1415974_at	673.5	P
1415975_at	98.9	A
1415976_a_at	109.5	A
1415977_at	566.2	P
1415978_at	6.4	A
1415979_x_at	10141.9	P
1415980_at	4757.8	P
1415981_at	1007.3	P
1415982_at	402.4	P
1415983_at	7931.1	P
1415984_at	3059.6	P
1415985_at	1352	P
1415986_at	582.5	P
1415987_at	1417	P
1415988_at	446.9	P
1415989_at	70.4	M
1415990_at	7682.9	P
1415991_a_at	2586.1	P
1415992_at	258.5	P
1415993_at	804.2	P
1415994_at	5.1	A
1415995_at	698.5	P
1415996_at	1872.4	P
1415997_at	1293.3	P
1415998_at	3888	P
1415999_at	28.4	A
1416000_a_at	8168.7	P
1416001_a_at	1129.2	A
1416002_x_at	850.5	P
1416003_at	19.7	A
1416004_at	3793.6	P
1416005_at	1454.3	P
1416006_at	97.6	A
1416007_at	280.7	P
1416008_at	193.3	P
1416009_at	1074.9	P
1416010_a_at	3129.6	P
1416011_x_at	2648.5	P
1416012_at	627.5	P
1416013_at	708	P
1416014_at	1038.1	P
1416015_s_at	1773.8	P
1416016_at	312.6	P
1416017_at	210	A
1416018_at	776.2	P
1416019_at	389.6	P
1416020_a_at	5419	P
1416021_a_at	4603.2	P
1416022_at	1119.4	P
1416023_at	51.3	P
1416024_x_at	5910.9	P
1416025_at	5.8	A
1416026_a_at	8757.3	P
1416027_at	2090.4	P
1416028_a_at	1378.9	P
1416029_at	648.4	P
1416030_a_at	1465.6	P
1416031_s_at	1283.6	P
1416032_at	321.4	P
1416033_at	72.7	P
1416034_at	423.5	P
1416035_at	286.7	M
1416036_at	2179.1	P
1416037_a_at	4678	P
1416038_at	381.7	P
1416039_x_at	54.2	P
1416040_at	9.7	A
1416041_at	409.7	P
1416042_s_at	731.7	P
1416043_at	1.6	A
1416044_at	1521.5	P
1416045_a_at	640.3	P
1416046_a_at	916.7	P
1416047_at	46	M
1416048_at	242.6	P
1416049_at	7.5	A
1416050_a_at	684	P
1416051_at	42.1	A
1416052_at	870.7	P
1416053_at	2.1	A
1416054_at	8523	P
1416055_at	19.2	A
1416056_a_at	4574.8	P
1416057_at	3328.9	P
1416058_s_at	9791.1	P
1416059_at	1646.3	P
1416060_at	1333.7	P
1416061_at	1294.1	P
1416062_at	510.9	P
1416063_x_at	0.7	A
1416064_a_at	9892.9	P
1416065_a_at	407.8	P
1416066_at	3861.9	P
1416067_at	1216.9	P
1416068_at	1352.7	P
1416069_at	1337.9	P
1416070_a_at	389	P
1416071_at	1009.7	P
1416072_at	304	P
1416073_a_at	499.1	P
1416074_a_at	10601.1	P
1416075_at	447.7	P
1416076_at	1151.5	P
1416077_at	9.3	A
1416078_s_at	747.8	P
1416079_a_at	631.9	P
1416080_at	42.1	A
1416081_at	94.5	P
1416082_at	7463.6	P
1416083_at	6153.3	P
1416084_at	1611.5	P
1416085_s_at	7998.3	P
1416086_at	502.1	P
1416087_at	2157.8	P
1416088_a_at	8665.7	P
1416089_at	7168.8	P
1416090_at	7589.2	P
1416091_at	119.3	P
1416092_a_at	293.8	P
1416093_a_at	1979.3	P
1416094_at	1924.1	P
1416095_x_at	1978.3	P
1416096_at	851.1	P
1416097_at	3.3	A
1416098_at	66	A
1416099_at	10359.6	P
1416100_at	2724.6	P
1416101_a_at	4665	P
1416102_at	2214.4	P
1416103_at	382.9	P
1416104_at	1022.5	P
1416105_at	738.8	P
1416106_at	840.8	P
1416107_at	17.2	A
1416108_a_at	1694.1	P
1416109_at	2074.7	P
1416110_at	1306.6	P
1416111_at	104.4	P
1416112_at	3989	P
1416113_at	580.5	P
1416114_at	5.2	A
1416115_at	576.1	P
1416116_at	146.8	P
1416117_at	11.9	A
1416118_at	250.8	P
1416119_at	11622.8	P
1416120_at	992.4	P
1416121_at	361.9	P
1416122_at	175.4	P
1416123_at	7.2	A
1416124_at	27.3	A
1416125_at	401.4	P
1416126_at	346.4	P
1416127_a_at	866.2	P
1416128_at	622.1	P
1416129_at	125.2	P
1416130_at	333.8	P
1416131_s_at	801.4	P
1416132_at	277.8	P
1416133_at	869.3	P
1416134_at	6.5	A
1416135_at	2104.9	P
1416136_at	27.8	A
1416137_at	419.2	P
1416138_at	2455.6	P
1416139_at	66.4	A
1416140_a_at	733	P
1416141_a_at	13074.7	P
1416142_at	332.3	P
1416143_at	4756.2	P
1416144_a_at	4689.5	P
1416145_at	3756.6	P
1416146_at	2165.3	P
1416147_at	342.5	A
1416148_at	338.2	M
1416149_at	5	A
1416150_a_at	3962.8	P
1416151_at	411.5	P
1416152_a_at	982.8	P
1416153_at	3075.4	P
1416154_at	6.6	A
1416155_at	1588.4	P
1416156_at	2056.6	P
1416157_at	325.6	P
1416158_at	7	A
1416159_at	43.4	A
1416160_at	2.2	A
1416161_at	3317	P
